month,year,average_price_gbp
January,2010,136462
February,2010,139602
March,2010,137857
April,2010,139450
May,2010,141760
June,2010,142143
July,2010,142973
August,2010,144010
September,2010,142087
October,2010,141097
November,2010,139935
December,2010,139103
January,2011,136418
February,2011,137220
March,2011,136388
April,2011,137100
May,2011,137464
June,2011,137793
July,2011,140060
August,2011,140623
September,2011,138920
October,2011,137499
November,2011,137839
December,2011,138723
January,2012,136369
February,2012,136102
March,2012,137025
April,2012,138440
May,2012,138251
June,2012,139459
July,2012,140983
August,2012,139793
September,2012,139262
October,2012,139395
November,2012,139511
December,2012,138977
January,2013,137537
February,2013,137599
March,2013,138562
April,2013,139314
May,2013,141012
June,2013,141367
July,2013,142534
August,2013,144030
September,2013,143553
October,2013,144444
November,2013,143522
December,2013,145942
January,2014,145261
February,2014,146741
March,2014,146448
April,2014,149319
May,2014,150008
June,2014,151454
July,2014,152658
August,2014,155033
September,2014,155263
October,2014,154170
November,2014,154009
December,2014,153904
January,2015,153669
February,2015,154210
March,2015,154728
April,2015,155680
May,2015,157709
June,2015,158960
July,2015,161180
August,2015,163208
September,2015,162174
October,2015,163771
November,2015,164460
December,2015,165081
January,2016,164946
February,2016,164383
March,2016,165175
April,2016,167913
May,2016,168771
June,2016,170091
July,2016,171782
August,2016,172649
September,2016,173272
October,2016,172479
November,2016,173872
December,2016,174665
January,2017,172959
February,2017,175110
March,2017,174956
April,2017,177942
May,2017,178966
June,2017,180204
July,2017,183172
August,2017,182763
September,2017,183816
October,2017,184044
November,2017,183974
December,2017,184942
January,2018,184574
February,2018,187235
March,2018,184845
April,2018,187276
May,2018,188826
June,2018,189259
July,2018,191231
August,2018,192610
September,2018,194049
October,2018,191666
November,2018,192979
December,2018,191694
January,2019,191237
February,2019,190990
March,2019,190586
April,2019,191571
May,2019,191927
June,2019,192029
July,2019,193480
August,2019,195345
September,2019,194867
October,2019,194705
November,2019,194873
December,2019,194489
